Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,623239,-,-,-,32.45,-99.74,-6,522,-6,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,3.0.6
Year,Month,Day,Hour,Minute,DNI,DHI,GHI,Dew Point,Temperature,Pressure,Relative Humidity,Wind Direction,Wind Speed,Surface Albedo
2013,1,1,0,30,0,0,0,0,2,950,84.07000000000001,2.8000000000000003,3.6,0.17300000000000001
2013,1,1,1,30,0,0,0,0,1,950,97.01,9.700000000000001,3.8000000000000003,0.17300000000000001
2013,1,1,2,30,0,0,0,-1,0,950,92.14,11.3,3.7,0.17300000000000001
2013,1,1,3,30,0,0,0,-2,0,950,83.38,6,3.6,0.17300000000000001
2013,1,1,4,30,0,0,0,-3,0,950,81.4,0.6000000000000001,3.4000000000000004,0.17300000000000001
2013,1,1,5,30,0,0,0,-4,-1,950,77.46000000000001,354.90000000000003,3.4000000000000004,0.17300000000000001
2013,1,1,6,30,0,0,0,-4,-1,960,75.60000000000001,350.1,3.3000000000000003,0.17300000000000001
2013,1,1,7,30,0,0,0,-4,-1,960,74.49,347,3.7,0.17300000000000001
2013,1,1,8,30,408,40,98,-5,0,960,68.61,352.90000000000003,4.1000000000000005,0.17300000000000001
2013,1,1,9,30,529,85,249,-5,0,960,68.91,358.6,4,0.17300000000000001
2013,1,1,10,30,846,85,459,-5,2,960,58.910000000000004,354.40000000000003,3.9000000000000004,0.17300000000000001
2013,1,1,11,30,912,89,572,-5,4,960,53.94,352.20000000000005,3.8000000000000003,0.17300000000000001
2013,1,1,12,30,944,87,622,-5,5,960,49.980000000000004,348.5,3.8000000000000003,0.17300000000000001
2013,1,1,13,30,799,103,544,-5,6,960,46.42,344.3,3.8000000000000003,0.17300000000000001
2013,1,1,14,30,862,70,488,-5,6,960,42.84,340.40000000000003,3.9000000000000004,0.17300000000000001
2013,1,1,15,30,625,90,322,-5,5,960,45.07,340.90000000000003,3.9000000000000004,0.17300000000000001
2013,1,1,16,30,544,57,175,-6,3,960,50.85,346.8,3,0.17300000000000001
2013,1,1,17,30,0,21,21,-6,1,960,59.43,358.40000000000003,2.1,0.17300000000000001
2013,1,1,18,30,0,0,0,-6,0,960,63.54,15.5,2.1,0.17300000000000001
2013,1,1,19,30,0,0,0,-6,0,960,62.57,22.6,2,0.17300000000000001
2013,1,1,20,30,0,0,0,-6,0,960,61.63,24.700000000000003,1.9000000000000001,0.17300000000000001
2013,1,1,21,30,0,0,0,-6,0,960,65.36,29.3,1.6,0.17300000000000001
2013,1,1,22,30,0,0,0,-6,-1,960,64.6,33.7,1.4000000000000001,0.17300000000000001
2013,1,1,23,30,0,0,0,-6,-1,960,68.75,30.8,1.2000000000000002,0.17300000000000001
2013,1,2,0,30,0,0,0,-7,-2,960,68.26,19.700000000000003,1,0.17300000000000001
2013,1,2,1,30,0,0,0,-7,-2,960,67.82000000000001,6.800000000000001,0.9,0.17300000000000001
2013,1,2,2,30,0,0,0,-7,-2,960,67.29,352.5,0.9,0.17300000000000001
2013,1,2,3,30,0,0,0,-7,-2,960,71.96000000000001,342.6,0.9,0.17300000000000001
2013,1,2,4,30,0,0,0,-7,-2,960,71.62,336.70000000000005,0.9,0.17300000000000001
2013,1,2,5,30,0,0,0,-7,-3,960,71.39,333.5,0.9,0.17300000000000001
2013,1,2,6,30,0,0,0,-7,-3,960,71.24,332,0.9,0.17300000000000001
2013,1,2,7,30,0,0,0,-7,-2,960,66.04,332,1.3,0.17300000000000001
2013,1,2,8,30,141,51,71,-7,0,960,61.77,329.1,1.8,0.17300000000000001
2013,1,2,9,30,0,70,70,-7,0,960,57.79,323.5,2,0.17300000000000001
2013,1,2,10,30,613,118,389,-7,2,960,50.92,322.5,2.4000000000000004,0.17300000000000001
2013,1,2,11,30,598,156,473,-6,4,960,45.5,322.90000000000003,2.6,0.17300000000000001
2013,1,2,12,30,641,158,523,-6,6,960,40.730000000000004,324.20000000000005,2.9000000000000004,0.17300000000000001
2013,1,2,13,30,743,123,534,-6,7,960,38.300000000000004,322.8,2.9000000000000004,0.17300000000000001
2013,1,2,14,30,911,77,521,-6,8,960,35.52,323.6,2.5,0.17300000000000001
2013,1,2,15,30,840,68,381,-6,7,960,37.83,329.5,1.9000000000000001,0.17300000000000001
2013,1,2,16,30,682,51,201,-5,5,960,47.730000000000004,344.70000000000005,1.2000000000000002,0.17300000000000001
2013,1,2,17,30,239,16,25,-4,3,960,56.82,37.2,1.1,0.17300000000000001
2013,1,2,18,30,0,0,0,-5,1,960,59.980000000000004,72.60000000000001,1.3,0.17300000000000001
2013,1,2,19,30,0,0,0,-6,0,960,62.980000000000004,87.30000000000001,1.3,0.17300000000000001
2013,1,2,20,30,0,0,0,-6,0,960,62,95.7,1.3,0.17300000000000001
2013,1,2,21,30,0,0,0,-6,0,960,61.9,101.10000000000001,1.2000000000000002,0.17300000000000001
2013,1,2,22,30,0,0,0,-6,0,960,62.03,102.60000000000001,1,0.17300000000000001
2013,1,2,23,30,0,0,0,-6,0,960,62.13,90.30000000000001,0.8,0.17300000000000001
2013,1,3,0,30,0,0,0,-6,0,960,62.190000000000005,58.1,0.8,0.17300000000000001
2013,1,3,1,30,0,0,0,-6,-1,960,66.88,27.400000000000002,1,0.17300000000000001
2013,1,3,2,30,0,0,0,-6,-2,960,71.92,12.200000000000001,1.1,0.17300000000000001
2013,1,3,3,30,0,0,0,-6,-3,960,77.49,5.2,1.2000000000000002,0.17300000000000001
2013,1,3,4,30,0,0,0,-6,-3,960,77.74,3.6,1.2000000000000002,0.17300000000000001
2013,1,3,5,30,0,0,0,-6,-3,960,84.5,4.2,1.3,0.17300000000000001
2013,1,3,6,30,0,0,0,-6,-3,960,79.75,6.5,1.5,0.17300000000000001
2013,1,3,7,30,0,0,0,-5,-2,960,75.91,11.5,2.3000000000000003,0.17300000000000001
2013,1,3,8,30,0,42,42,-5,0,960,72.78,14.8,2.8000000000000003,0.17300000000000001
2013,1,3,9,30,506,89,245,-4,1,960,65.39,20.6,3,0.17300000000000001
2013,1,3,10,30,196,197,284,-4,4,960,53.74,42.5,3.4000000000000004,0.17300000000000001
2013,1,3,11,30,134,246,318,-5,5,960,48.35,46.7,3.5,0.17300000000000001
2013,1,3,12,30,213,267,388,-5,6,960,43.57,49.7,3.4000000000000004,0.17300000000000001
2013,1,3,13,30,432,218,458,-5,7,960,39.160000000000004,54.5,3.2,0.17300000000000001
2013,1,3,14,30,85,217,259,-6,7,960,37.46,54.1,3.2,0.17300000000000001
2013,1,3,15,30,0,15,15,-7,6,960,38.68,50.800000000000004,3,0.17300000000000001
2013,1,3,16,30,0,6,6,-7,4,960,44.43,47.900000000000006,1.8,0.17300000000000001
2013,1,3,17,30,0,0,0,-4,2,960,60.19,45.6,1,0.17300000000000001
2013,1,3,18,30,0,0,0,-5,2,960,63.27,46.900000000000006,1,0.17300000000000001
2013,1,3,19,30,0,0,0,-5,2,960,63.18,50.900000000000006,1,0.17300000000000001
2013,1,3,20,30,0,0,0,-5,2,960,63.54,55.800000000000004,0.9,0.17300000000000001
2013,1,3,21,30,0,0,0,-5,1,960,63.68,68.3,0.9,0.17300000000000001
2013,1,3,22,30,0,0,0,-5,1,960,63.84,75.2,0.8,0.17300000000000001
2013,1,3,23,30,0,0,0,-5,2,960,62.45,68.10000000000001,0.6000000000000001,0.17300000000000001
2013,1,4,0,30,0,0,0,-5,2,960,57.34,56.400000000000006,0.30000000000000004,0.17300000000000001
2013,1,4,1,30,0,0,0,-5,1,960,62.56,220.4,0.30000000000000004,0.17300000000000001
